id_perevozki,data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,kategorija_perevozki,rasstoyanie_km,gos_nomer_avto,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,id_voditelya,fio_voditelya,kompaniya_perevozchik,punkt_zagruzki,gorod_zagruzki,region_zagruzki,punkt_razgruzki,gorod_razgruzki,region_razgruzki,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,otklonenie_ot_plana_chas,tarif_summa,sebestoimost_perevozki,pribyl,tonnazh_gruza_tonn,obem_gruza_m3,protsent_zagruzki_tonn,protsent_zagruzki_obem,kolichestvo_pozitsiy,kommentariy_perevozki,nalichie_dokumentov
P-000001,2025-07-12 18:48:33,Доставлена,ОАО «Дементьева-Анисимов»,ИП «Третьякова Белоусов»,Оборудование,Междугородняя,4422.46,А761КО77,MAN TGS,Рефрижератор,20.0,VOD-2462,Миронова Вера Альбертовна,Субподрядчик,"п. Кош-Агач, пр. Угольный, д. 6, 150853",Екатеринбург,Свердловская область,"к. Далматово, наб. Челюскинцев, д. 541 стр. 43, 574691",Калининград,Калининградская область,2025-07-10 08:54:16,2025-08-03 18:29:01,2025-08-09 23:02:05,148.55,495204.41,406718.08,88486.33,15.15,52.31,0.76,0.69,56,,Проблема
P-000002,2025-07-20 17:39:49,Запланирована,ОАО «Жданов»,"ОАО «Костина, Боброва и Зуева»",Продукты питания,Междугородняя,4686.2,А775ТА77,Volvo FH,Бортовой,25.0,VOD-1925,Шилова Лукия Николаевна,Субподрядчик,"клх Чита, ш. Карла Маркса, д. 767 к. 5/5, 031450",Калининград,Калининградская область,"ст. Терскол, пер. Волжский, д. 600 стр. 93, 264282",Пермь,Пермский край,2025-07-17 00:35:36,2025-08-28 18:44:21,2025-08-26 21:34:04,-45.17,607518.73,435050.11,172468.62,15.65,46.91,0.63,0.65,26,,Полный пакет
P-000003,2025-08-26 22:58:27,Проблемная,Носков Лимитед,ОАО «Богданов Гущин»,Сырье,Междугородняя,2207.86,С242СМ77,Scania R-series,Бортовой,25.0,VOD-1961,Игнатова Лора Семеновна,Собственный парк,"г. Находка, алл. Новостройка, д. 444 к. 44, 800674",Сочи,Краснодарский край,"к. Киренск, бул. Куйбышева, д. 7/5, 252018",Москва,Московская область,2025-08-18 12:30:54,2025-08-19 13:02:04,2025-08-09 10:34:55,-242.45,317340.46,218308.02,99032.44,22.99,62.4,0.92,0.91,39,,Ожидание
P-000004,2025-07-30 16:20:02,Доставлена,"АО «Кондратьев, Ершова и Лазарев»",НПО «Белоусова-Аксенов»,Стройматериалы,Международная,4208.37,С721АА77,ГАЗель Next,Цистерна,25.0,VOD-3631,Авксентий Евстигнеевич Овчинников,Собственный парк,"с. Юрьев-Польский, бул. Кузнецкий, д. 436, 333501",Новосибирск,Новосибирская область,"г. Каменск-Уральский, бул. Таежный, д. 84 к. 6/5, 833699",Самара,Самарская область,2025-07-22 14:24:28,2025-08-01 21:24:47,2025-07-16 21:03:05,-384.36,592635.48,442486.35,150149.13,15.35,49.7,0.61,0.7,53,,Полный пакет
P-000005,2025-08-18 13:11:26,Доставлена,ООО «Гришин Зайцева»,РАО «Пестова Евсеева»,Стройматериалы,Международная,1774.49,Н597ОК77,Scania R-series,Бортовой,20.0,VOD-1788,г-жа Горбачева София Викторовна,Собственный парк,"клх Петрозаводск, наб. Строительная, д. 56 стр. 6/8, 985580",Новосибирск,Новосибирская область,"с. Ейск, пер. Чапаева, д. 7, 127058",Ростов-на-Дону,Ростовская область,2025-07-31 10:50:32,2025-08-12 23:21:49,2025-08-30 22:39:37,431.3,247700.02,195673.56,52026.46,12.49,35.89,0.62,0.67,17,,Ожидание
P-000006,2025-08-02 14:06:59,Доставлена,РАО «Ермакова Сидорова»,Мосметрострой,Стройматериалы,Междугородняя,1505.45,М560РН77,Scania R-series,Тент,25.0,VOD-8038,Мария Ильинична Маслова,Собственный парк,"ст. Кизел, пр. Коммунистический, д. 84 стр. 2/4, 263307",Воронеж,Воронежская область,"к. Мезень, пер. Челюскинцев, д. 412 к. 87, 381257",Екатеринбург,Свердловская область,2025-07-01 10:39:33,2025-07-25 05:51:03,2025-08-16 16:50:57,539.0,225791.14,191463.5,34327.64,20.13,56.38,0.81,0.68,91,,Полный пакет
P-000007,2025-07-23 10:17:23,Отменена,Антонов Инкорпорэйтед,Вектрум-К,Стройматериалы,Междугородняя,2837.24,С670ЕР77,КАМАЗ 5490,Бортовой,20.0,VOD-1427,Синклитикия Ниловна Лукина,Собственный парк,"с. Краснодар, пер. Кольцова, д. 589 стр. 2, 582576",Воронеж,Воронежская область,"д. Карачаевск, ш. Ушакова, д. 493 стр. 771, 140129",Пермь,Пермский край,2025-07-23 10:04:49,2025-08-12 13:10:06,2025-07-02 06:21:00,-990.82,313065.49,197165.86,115899.63,19.26,65.86,0.96,0.97,19,,Проблема
P-000008,2025-07-11 00:38:40,Доставлена,Картли,ООО «Смирнов»,Сырье,Междугородняя,738.44,Н344ЕТ77,ГАЗель Next,Бортовой,25.0,VOD-5879,Кириллова Пелагея Валентиновна,Собственный парк,"г. Северо-Курильск, бул. Тимирязева, д. 7/3, 992334",Мурманск,Мурманская область,"д. Иваново, ш. Кирпичное, д. 39, 023092",Екатеринбург,Свердловская область,2025-07-18 03:52:31,2025-08-29 12:44:25,2025-08-11 00:59:06,-443.76,83384.35,51030.01,32354.34,20.98,70.84,0.84,0.93,21,,Ожидание
P-000009,2025-07-19 11:26:06,Доставлена,ООО «Юдин Шестакова»,РАО «Дементьева-Пестов»,Оборудование,Междугородняя,3882.55,Н214ХТ77,КАМАЗ 5490,Рефрижератор,10.0,VOD-1112,Митофан Герасимович Козлов,Собственный парк,"с. Чебоксары, ул. Крайняя, д. 98 стр. 32, 705791",Уфа,Республика Башкортостан,"г. Одинцово, ул. Свободы, д. 653 к. 20, 506638",Самара,Самарская область,2025-07-11 21:22:37,2025-07-18 21:07:25,2025-07-03 03:21:29,-377.77,581023.75,376414.93,204608.82,7.15,24.92,0.72,0.96,37,,Полный пакет
P-000010,2025-07-29 17:38:07,Доставлена,Втормет,ООО «Моисеева Костин»,ТНП,Международная,4867.83,К353НК77,Scania R-series,Фургон,20.0,VOD-8607,Капустин Евстигней Всеволодович,Субподрядчик,"ст. Артем, ул. Октября, д. 8 к. 807, 007236",Калининград,Калининградская область,"клх Домодедово, ул. Магистральная, д. 57 стр. 5/6, 064168",Уфа,Республика Башкортостан,2025-07-31 09:43:32,2025-08-03 05:29:02,2025-07-04 10:40:47,-714.8,573969.23,449408.31,124560.92,19.83,59.28,0.99,0.62,39,,Полный пакет
P-000011,2025-07-31 08:47:33,Отменена,Стройгазмонтаж,171 Меридиан,Опасный груз,Междугородняя,3029.7,Н656НН77,MAN TGS,Бортовой,10.0,VOD-4944,Гусева Юлия Архиповна,Собственный парк,"к. Ясный (Оренб.), ул. Владимирская, д. 9 к. 87, 534266",Екатеринбург,Свердловская область,"ст. Хатанга, ш. Розы Люксембург, д. 259 стр. 8, 032223",Уфа,Республика Башкортостан,2025-07-24 15:43:31,2025-07-25 04:37:50,2025-08-22 02:28:11,669.84,342645.04,270653.42,71991.62,5.34,17.05,0.53,0.76,4,,Ожидание
P-000012,2025-07-28 05:51:16,Отменена,ЗАО «Овчинников-Большакова»,Орехов Лимитед,Опасный груз,Междугородняя,517.89,Е808ВТ77,Volvo FH,Фургон,20.0,VOD-5419,Юдин Ферапонт Егорович,Собственный парк,"ст. Волгоград, пр. Терешковой, д. 86 стр. 2, 742485",Воронеж,Воронежская область,"д. Элиста, ул. Котовского, д. 881, 194391",Санкт-Петербург,Ленинградская область,2025-07-04 20:09:38,2025-07-18 22:55:41,2025-07-19 06:49:42,7.9,61159.66,44736.23,16423.43,15.37,42.95,0.77,0.87,33,,Полный пакет
P-000013,2025-08-18 12:29:55,Проблемная,Агафонова Групп,ЗАО «Коновалов Соколов»,Стройматериалы,Междугородняя,2083.17,Е322КМ77,КАМАЗ 5490,Рефрижератор,25.0,VOD-9322,Зуев Григорий Ярославович,Собственный парк,"к. Кунгур, бул. Российский, д. 4, 507506",Мурманск,Мурманская область,"с. Костомукша, наб. Ударная, д. 2/6, 240756",Казань,Республика Татарстан,2025-08-09 19:16:47,2025-08-15 12:36:25,2025-07-28 21:20:03,-423.27,250289.84,209173.69,41116.15,21.99,67.21,0.88,0.8,48,,Проблема
P-000014,2025-08-29 18:55:37,Доставлена,ЗАО «Фокина Николаев»,РАО «Игнатьев»,Оборудование,Междугородняя,1883.37,Х307ОА77,MAN TGS,Тент,20.0,VOD-1559,Лидия Альбертовна Гусева,Субподрядчик,"п. Лесной (Сверд.), ш. Макаренко, д. 53 к. 7/5, 189258",Калининград,Калининградская область,"с. Завьялиха, пер. Восьмого Марта, д. 14 стр. 490, 249898",Санкт-Петербург,Ленинградская область,2025-08-07 09:09:30,2025-08-17 20:03:07,2025-08-16 18:19:59,-25.72,221967.11,150027.99,71939.12,17.09,51.84,0.85,0.95,1,,Полный пакет
